"TIME","GEO","INDIC_ED","UNIT","Value"
"2002","Estonia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.42"
"2002","Estonia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.03"
"2002","Estonia","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.43"
"2002","Estonia","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","15.29"
"2002","Estonia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","14.08"
"2002","Estonia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","1.21"
"2002","Estonia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage",":"
"2002","Estonia","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.70"
"2002","Ireland","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.27"
"2002","Ireland","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.39"
"2002","Ireland","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","1.63"
"2002","Ireland","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.18"
"2002","Ireland","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.07"
"2002","Ireland","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.98"
"2002","Ireland","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.28"
"2002","Ireland","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","12.74"
"2002","Ireland","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","11.90"
"2002","Ireland","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.85"
"2002","Ireland","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.28"
"2002","Ireland","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.14"
"2002","Greece","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","3.57"
"2002","Greece","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","0.98"
"2002","Greece","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","1.26"
"2002","Greece","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.16"
"2002","Greece","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.17"
"2002","Greece","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.50"
"2002","Greece","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.07"
"2002","Greece","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","7.93"
"2002","Greece","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","7.77"
"2002","Greece","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.16"
"2002","Greece","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.17"
"2002","Greece","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","3.56"
"2002","Spain","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.25"
"2002","Spain","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.10"
"2002","Spain","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","1.76"
"2002","Spain","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.97"
"2002","Spain","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.42"
"2002","Spain","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","4.14"
"2002","Spain","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.11"
"2002","Spain","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","10.92"
"2002","Spain","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","10.63"
"2002","Spain","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.29"
"2002","Spain","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.54"
"2002","Spain","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","4.31"
"2002","France","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.90"
"2002","France","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.16"
"2002","France","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.87"
"2002","France","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.22"
"2002","France","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.65"
"2002","France","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.67"
"2002","France","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.23"
"2002","France","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","11.17"
"2002","France","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","10.73"
"2002","France","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.43"
"2002","France","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.56"
"2002","France","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.86"
"2002","Croatia","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","3.71"
"2002","Croatia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.81"
"2002","Croatia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","0.88"
"2002","Croatia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.59"
"2002","Croatia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.44"
"2002","Croatia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.71"
"2002","Croatia","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage",":"
"2002","Croatia","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","7.97"
"2002","Croatia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","7.97"
"2002","Croatia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage",":"
"2002","Croatia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.13"
"2002","Croatia","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","3.77"
"2002","Italy","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.60"
"2002","Italy","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.19"
"2002","Italy","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.17"
"2002","Italy","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.85"
"2002","Italy","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.39"
"2002","Italy","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","4.40"
"2002","Italy","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.20"
"2002","Italy","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","9.76"
"2002","Italy","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","9.34"
"2002","Italy","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.42"
"2002","Italy","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.35"
"2002","Italy","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","4.63"
"2002","Cyprus","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","6.60"
"2002","Cyprus","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.81"
"2002","Cyprus","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","3.05"
"2002","Cyprus","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.39"
"2002","Cyprus","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.35"
"2002","Cyprus","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.87"
"2002","Cyprus","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.73"
"2002","Cyprus","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","16.50"
"2002","Cyprus","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","14.67"
"2002","Cyprus","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","1.83"
"2002","Cyprus","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","1.41"
"2002","Cyprus","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","6.83"
"2002","Latvia","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","6.60"
"2002","Latvia","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.24"
"2002","Latvia","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","3.62"
"2002","Latvia","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.98"
"2002","Latvia","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.77"
"2002","Latvia","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","6.08"
"2002","Latvia","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.52"
"2002","Latvia","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","18.35"
"2002","Latvia","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","16.90"
"2002","Latvia","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","1.44"
"2002","Latvia","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.95"
"2002","Latvia","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","6.58"
"2002","Lithuania","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.81"
"2002","Lithuania","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.00"
"2002","Lithuania","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.63"
"2002","Lithuania","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.39"
"2002","Lithuania","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.78"
"2002","Lithuania","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.43"
"2002","Lithuania","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.38"
"2002","Lithuania","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","16.42"
"2002","Lithuania","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","15.35"
"2002","Lithuania","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","1.07"
"2002","Lithuania","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage",":"
"2002","Lithuania","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.86"
"2002","Luxembourg","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","3.79"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","2.01"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","1.78"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage",":"
"2002","Luxembourg","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage",":"
"2002","Luxembourg","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.72"
"2002","Luxembourg","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.08"
"2002","Luxembourg","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","9.13"
"2002","Luxembourg","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","8.94"
"2002","Luxembourg","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.18"
"2002","Luxembourg","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage",":"
"2002","Luxembourg","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","4.57"
"2002","Hungary","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.39"
"2002","Hungary","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","0.96"
"2002","Hungary","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.29"
"2002","Hungary","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.23"
"2002","Hungary","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.91"
"2002","Hungary","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","4.90"
"2002","Hungary","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.49"
"2002","Hungary","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","10.46"
"2002","Hungary","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","9.51"
"2002","Hungary","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.94"
"2002","Hungary","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.55"
"2002","Hungary","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.68"
"2002","Malta","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","4.22"
"2002","Malta","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.06"
"2002","Malta","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.01"
"2002","Malta","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.87"
"2002","Malta","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.28"
"2002","Malta","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.80"
"2002","Malta","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.42"
"2002","Malta","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","10.13"
"2002","Malta","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","9.12"
"2002","Malta","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","1.01"
"2002","Malta","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.59"
"2002","Malta","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","4.19"
"2002","Netherlands","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.22"
"2002","Netherlands","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.40"
"2002","Netherlands","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.06"
"2002","Netherlands","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.36"
"2002","Netherlands","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.40"
"2002","Netherlands","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","4.65"
"2002","Netherlands","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.57"
"2002","Netherlands","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","11.30"
"2002","Netherlands","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","10.07"
"2002","Netherlands","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","1.23"
"2002","Netherlands","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.88"
"2002","Netherlands","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.18"
"2002","Austria","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.68"
"2002","Austria","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.12"
"2002","Austria","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.64"
"2002","Austria","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.28"
"2002","Austria","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.63"
"2002","Austria","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.30"
"2002","Austria","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.37"
"2002","Austria","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","11.20"
"2002","Austria","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","10.46"
"2002","Austria","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.74"
"2002","Austria","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.38"
"2002","Austria","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.75"
"2002","Poland","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.41"
"2002","Poland","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.82"
"2002","Poland","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.10"
"2002","Poland","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","1.05"
"2002","Poland","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.43"
"2002","Poland","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.28"
"2002","Poland","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.13"
"2002","Poland","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","12.23"
"2002","Poland","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","11.93"
"2002","Poland","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.30"
"2002","Poland","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.64"
"2002","Poland","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.43"
"2002","Portugal","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","5.33"
"2002","Portugal","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.65"
"2002","Portugal","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","2.25"
"2002","Portugal","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.92"
"2002","Portugal","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.51"
"2002","Portugal","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","5.22"
"2002","Portugal","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.11"
"2002","Portugal","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","12.39"
"2002","Portugal","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","12.12"
"2002","Portugal","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.26"
"2002","Portugal","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.08"
"2002","Portugal","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","5.42"
"2002","Romania","Total public expenditure on education as % of GDP, for all levels of education combined","Percentage","3.51"
"2002","Romania","Total public expenditure on education as % of GDP, at primary level of education (ISCED 1)","Percentage","1.26"
"2002","Romania","Total public expenditure on education as % of GDP, at secondary level of education (ISCED 2-4)","Percentage","0.76"
"2002","Romania","Total public expenditure on education as % of GDP, at tertiary level of education (ISCED 5-6)","Percentage","0.70"
"2002","Romania","Total public expenditure on education as % of GDP, at pre-primary level of education (ISCED 0) and not allocated by level","Percentage","0.79"
"2002","Romania","Expenditure on educational institutions from public sources as % of GDP, for all levels of government combined","Percentage","3.43"
"2002","Romania","Public subsidies to the private sector as % of GDP, for all levels of education combined","Percentage","0.08"
"2002","Romania","Total public expenditure on education as % of total public expenditure, for all levels of education combined","Percentage","10.03"
"2002","Romania","Expenditure on educational institutions from public sources as % of total public expenditure, for all levels of education combined","Percentage","9.79"
"2002","Romania","Public subsidies to the private sector as % of total public expenditure, for all levels of education combined","Percentage","0.23"
"2002","Romania","Expenditure on educational institutions from private sources as % of GDP, for all levels of education combined","Percentage","0.16"
"2002","Romania","Total public expenditure on education as % of gross national income, for all levels of education combined","Percentage","3.55"
